公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,天河区,产品经理,3-5年,本科,15k-30k,"商业保险,自有园区,月活量高,氛围舒服"
广州昊誉信息科技有限公司,昊誉,50-150人,不需要融资,天河区,产品经理,3-5年,本科,10k-15k,"平台大,福利齐全,假期多,待遇好"
广东省出版集团数字出版有限公司,出版集团数字公司,50-150人,上市公司,越秀区,产品经理,3-5年,本科,8k-15k,"五险一金,年终奖金,带薪年假,绩效奖金"
前海易物（深圳）电子商务有限公司广州分公司,前海易物,150-500人,A轮,海珠区,产品经理,3-5年,本科,8K-15K,"班车接送,公司氛围好,7.5小时"
TCL集团财务有限公司,TCL金融控股集团,150-500人,未融资,越秀区,产品经理,3-5年,本科,8k-16k,待遇佳福利好平台广
万惠投资管理有限公司,PPmoney互联网金融平台,500-2000人,上市公司,天河区,高级产品经理,5-10年,本科,20k-25k,"牛人多,福利好,互联网金融"
北京尚德在线教育科技有限公司,尚德机构,2000人以上,上市公司,天河区,产品经理,3-5年,本科,15K-25K,"朝阳行业,在线教育"
广州云软数据科技有限公司,云软数据科技,50-150人,不需要融资,荔湾区,产品经理,1-3年,不限,13k-25k,"交通方便,地铁到,环境好"
金锡科技（广州）有限公司,金锡科技,50-150人,不需要融资,越秀区,产品经理,3-5年,大专,8k-15k,"员工旅游,餐补,下午茶,生日会"
上海游民网络科技有限公司,3K游戏,150-500人,不需要融资,天河区,产品经理,1-3年,大专,7k-14k,"双休,六险一金,年终奖,包餐"
航天精一（广东）信息科技有限公司,航天精一,150-500人,上市公司,天河区,中级产品经理,1-3年,本科,7k-12k,"周末双休,项目奖金,晋升渠道,六险一金"
广州金鹏集团有限公司,金鹏,2000人以上,未融资,天河区,产品经理,1-3年,本科,8k-10k,"团队年轻,机会多"
广州威尔森信息科技有限公司,Ways,150-500人,未融资,天河区,产品经理,5-10年,本科,8k-15k,六险一金
广州谦腾信息科技有限公司,谦腾信息,50-150人,A轮,海珠区,产品经理,3-5年,本科,20k-25k,"核心产品线,原型设计,业务需求,产品需求"
广州华多网络科技有限公司,欢聚时代（YY Inc）,2000人以上,上市公司,番禺区,产品经理,1-3年,大专,15k-25k,"社区类产品,短视频产品,上市公司"
广东链动网络科技有限公司,链动科技,50-150人,不需要融资,海珠区,产品经理,5-10年,大专,15k-25k,"五险一金,周末双休,发展空间"
广州太平洋电脑信息咨询有限公司,太平洋网络有限公司,500-2000人,上市公司,天河区,产品经理,3-5年,本科,10k-15k,"上市公司,年终奖金,五险一金"
广州奕报告信息科技有限公司,奕报告,50-150人,不需要融资,天河区,产品经理,不限,本科,6k-12k,"平台好,行业潜力大,团队氛围好,办公环境好"
广州欧科信息技术股份有限公司,广州欧科,150-500人,上市公司,萝岗区,产品经理,1-3年,本科,8k-15k,"期权,年终奖,弹性时间,年轻团队"
上海翡翠东方网络信息技术有限公司,翡翠东方TVBC,15-50人,不需要融资,天河区,产品经理,3-5年,本科,15k-25k,"领导好,项目潜力大,公司福利好,发展空间大"
广州华多网络科技有限公司,欢聚时代（YY Inc）,2000人以上,上市公司,番禺区,产品经理 (MJ000892),5-10年,本科,10k-20k,"平台大,福利多"
