公司全名,公司简称,公司规模,融资阶段,区域,行业,职位名称,工作性质,一级类别,二级类别,工作经验,学历要求,工资,职位福利,工作年限,经验要求,salary,月工资
广州博日信息科技有限公司,广州博日科技,50-150人,未融资,天河区,"移动互联网,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,8k-15k,"发展空间大,工作氛围好,前景好,开心","['5', '10']",7.5,"['8', '15']",9.75
广东修炼科技股份有限公司,修炼,50-150人,不需要融资,天河区,移动互联网,高级产品经理/总监,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,20k-30k,"扁平化管理,晋升空间大","['5', '10']",7.5,"['20', '30']",22.5
广州大麦信息科技有限公司,大麦电商,150-500人,天使轮,越秀区,"电子商务,企业服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8k-13k,"五险一金,年度旅游,定期体检,绩效奖金","['3', '5']",4.0,"['8', '13']",9.25
恒大地产集团珠三角房地产开发有限公司,恒大珠三角公司,2000人以上,上市公司,天河区,"移动互联网,生活服务",产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,20k-33k,500强,"['5', '10']",7.5,"['20', '33']",23.25
广东优计划科技有限公司,优计划科技,50-150人,未融资,天河区,"移动互联网,企业服务",中级产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,9k-15k,"距地铁近,五险一金,每周下午茶,氛围好","['1', '3']",2.0,"['9', '15']",10.5
广州帅为网络科技有限公司,帅为网络,少于15人,天使轮,天河区,"移动互联网,广告营销",产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,不限,5k-10k,"微信小程序,社交电商,快速成长","['1', '3']",2.0,"['5', '10']",6.25
广东绘宇智能勘测科技有限公司,绘宇智能勘测,150-500人,上市公司,天河区,数据服务,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,6k-9k,"五险一金,带薪年假,年终奖金,节日福利","['1', '3']",2.0,"['6', '9']",6.75
广州建软科技股份有限公司,建软,50-150人,上市公司,萝岗区,企业服务,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,8k-12k,"五险一金,股权,项目奖金","['3', '5']",4.0,"['8', '12']",9.0
广州美人信息技术有限公司,美人信息,150-500人,A轮,越秀区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,10k-15k,"产品前景好,晋升空间大,扁平化管理,俊男美女多","['1', '3']",2.0,"['10', '15']",11.25
广州经传多赢投资咨询有限公司,经传多赢,2000人以上,不需要融资,番禺区,"移动互联网,金融",app产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,本科,6k-12k,"五险一金,年底多薪,员工旅游,高成长团队","['1', '3']",2.0,"['6', '12']",7.5
广州牧云网络科技有限公司,美甲帮,150-500人,B轮,天河区,移动互联网,资深产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-25k,"五险一金,团队氛围好,成长空间大","['3', '5']",4.0,"['15', '25']",17.5
广州牧云网络科技有限公司,美甲帮,150-500人,B轮,天河区,移动互联网,资深产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15k-25k,"五险一金,团队氛围好,成长空间大","['3', '5']",4.0,"['15', '25']",17.5
广州汉蜂科技有限公司,汉蜂科技,15-50人,不需要融资,番禺区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,1-3年,大专,6k-12k,"技术大牛,氛围活跃,大型项目,发展空间","['1', '3']",2.0,"['6', '12']",7.5
北京尚德在线教育科技有限公司,尚德机构,2000人以上,上市公司,天河区,教育,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,本科,15K-25K,"朝阳行业,在线教育","['3', '5']",4.0,"['15', '25']",17.5
广州博冠光电科技股份有限公司,博冠,150-500人,上市公司,黄埔区,其他,产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,硕士,18K-36K,"五险一金,带薪年假,高企,新三板","['5', '10']",7.5,"['18', '36']",22.5
广州茂狮呙芙生物科技有限公司,茂狮呙芙,15-50人,天使轮,黄埔区,"电子商务,O2O",产品经理,全职,产品/需求/项目类,项目管理,1-3年,大专,1k-2k,"调研,产品定位","['1', '3']",2.0,"['1', '2']",1.25
广州云移信息科技有限公司,掌贝（云移科技）,500-2000人,B轮,天河区,"移动互联网,O2O",数据产品经理,全职,产品/需求/项目类,产品设计/需求分析,不限,本科,15k-25k,42项福利 专业培训 晋升空间 团建社团,[],0.0,"['15', '25']",17.5
广东程丰智运科技有限公司,程丰智运,少于15人,天使轮,白云区,企业服务、移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,不限,10K-20K,地道广州酒家是食堂接地气发展快的行业,"['3', '5']",4.0,"['10', '20']",12.5
广东道一信息技术股份有限公司,道一信息,500-2000人,上市公司,天河区,移动互联网,产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,不限,9k-12k,产品经理,"['3', '5']",4.0,"['9', '12']",9.75
广州餐道信息科技有限公司,广州餐道,150-500人,未融资,荔湾区,"移动互联网,O2O",产品经理,全职,产品/需求/项目类,产品设计/需求分析,3-5年,不限,10k-15k,"五险一金,扁平管理,年终奖金,弹性上班","['3', '5']",4.0,"['10', '15']",11.25
广东健客医药有限公司,健客网,500-2000人,A轮,萝岗区,"电子商务,医疗健康",数据产品经理,全职,产品/需求/项目类,产品设计/需求分析,5-10年,本科,13k-25k,"晋升空间大,竞争力薪酬","['5', '10']",7.5,"['13', '25']",16.0
